pollutant,scope,site,n,r2,coef,p_value
PM2.5,pooled,all,1964,0.15465008174836803,0.9438717909605379,1.154500440097391e-08
PM2.5,per_site,UW,715,0.1778728152025827,1.4783863043560117,6.261945009385173e-08
PM2.5,per_site,UAB,722,0.11608977057400283,0.31220699986751904,0.23679452727089795
PM2.5,per_site,UCSD,527,0.11816444120313685,1.2634453326437214,0.00025557969946132157
NOx,pooled,all,1964,0.14262026933695526,-1.9844847271743884,0.025334110641780604
NOx,per_site,UW,715,0.14637469239751144,-2.4944973088150113,0.09246849897115117
NOx,per_site,UAB,722,0.11566171800542058,-1.395542687663995,0.3042244261244151
NOx,per_site,UCSD,527,0.0970219005949019,-2.1360218545132077,0.282062787052992
VOC,pooled,all,1964,0.14664275288688877,4.360484640168342,0.0001667102016870583
VOC,per_site,UW,715,0.14924515204543243,5.129770884502578,0.022580493448694876
VOC,per_site,UAB,722,0.11826716717903218,3.2707099256530787,0.07583582338261077
VOC,per_site,UCSD,527,0.10825096811433943,5.511006750908523,0.005811387070839464
