,stratum,predictor,outcome,n,coef,p
0,all,log_pm25,hba1c,2161,0.12062666024137624,1.9881218964971998e-06
1,all,log_pm25,glucose_cv,2203,0.40867797390083327,0.001107226913906895
2,all,log_pm25,tar_180,2203,1.525915697656826,0.0019989933264171495
3,all,log_pm25,interday_glucose_variance,2201,39.52448756491367,1.07951574453988e-05
4,all,bmi,hba1c,2161,0.02570092202701813,1.8260358402916556e-14
5,all,bmi,glucose_cv,2203,0.03388316490000735,0.04067344887281497
6,all,bmi,tar_180,2203,0.38402689208687363,4.471104003545826e-09
7,all,bmi,interday_glucose_variance,2201,4.244788528229771,0.0003359324696600642
8,Healthy,log_pm25,hba1c,738,0.028213057329961516,0.17193147698764732
9,Healthy,log_pm25,glucose_cv,742,0.1380498690226315,0.3886587502708241
10,Healthy,log_pm25,tar_180,742,0.03974496760972408,0.8860537254873567
11,Healthy,log_pm25,interday_glucose_variance,742,4.591501938283445,0.5217399332469094
12,Healthy,bmi,hba1c,738,0.00545949241556677,0.06918854274424481
13,Healthy,bmi,glucose_cv,742,0.023033258881385188,0.32263797914302617
14,Healthy,bmi,tar_180,742,0.03567321304071114,0.37654194463225193
15,Healthy,bmi,interday_glucose_variance,742,-2.000469649055746,0.05517918753444882
16,Pre-DM,log_pm25,hba1c,538,-0.021086232124953426,0.437469123890958
17,Pre-DM,log_pm25,glucose_cv,545,-0.1305322368705938,0.5604817362965121
18,Pre-DM,log_pm25,tar_180,545,-1.101217354964969,0.07988481104293887
19,Pre-DM,log_pm25,interday_glucose_variance,543,-13.507503223500965,0.06453100185510792
20,Pre-DM,bmi,hba1c,538,0.00880765981020078,0.007555185793293158
21,Pre-DM,bmi,glucose_cv,545,-0.041202366858016676,0.1299418095053086
22,Pre-DM,bmi,tar_180,545,0.15350179090867852,0.04413134734528049
23,Pre-DM,bmi,interday_glucose_variance,543,0.5841179098299053,0.503639405889086
24,T2DM (Oral Med+Insulin),log_pm25,hba1c,885,0.1800954499789481,0.00015305502946725335
25,T2DM (Oral Med+Insulin),log_pm25,glucose_cv,916,0.5533270298003802,0.007347519284387073
26,T2DM (Oral Med+Insulin),log_pm25,tar_180,916,2.376644067751428,0.01057070525996381
27,T2DM (Oral Med+Insulin),log_pm25,interday_glucose_variance,916,74.32746062380369,5.296548188893354e-05
28,T2DM (Oral Med+Insulin),bmi,hba1c,885,0.016993291191539975,0.007688938121005919
29,T2DM (Oral Med+Insulin),bmi,glucose_cv,916,-0.028217967245839144,0.31146994797445177
30,T2DM (Oral Med+Insulin),bmi,tar_180,916,0.1689902080085129,0.1785077273980554
31,T2DM (Oral Med+Insulin),bmi,interday_glucose_variance,916,4.212577827857631,0.08921335264547985
