,env_metric,sdoh_score,age_band,n,spearman_rho,p_value
0,mean_pm25,current_smoker,40-54,704,0.14630577240285286,9.778807909939764e-05
1,mean_pm25,current_smoker,55-69,978,0.22711016461948644,6.601071205522716e-13
2,mean_pm25,current_smoker,70+,533,0.08358842924184984,0.053776270814541
3,mean_light,cesd_total,40-54,712,-0.15490416539460555,3.307685336652816e-05
4,mean_light,cesd_total,55-69,982,-0.11917258755349897,0.0001817732229589021
5,mean_light,cesd_total,70+,534,-0.057902970465729724,0.18153851099411364
6,mean_pm25,cesd_total,40-54,712,0.11684521831860549,0.0017899051819732234
7,mean_pm25,cesd_total,55-69,982,0.13840671146345374,1.3448636745346947e-05
8,mean_pm25,cesd_total,70+,533,0.06225523266653299,0.15120396808108613
9,mean_pm25,paid_total,40-54,705,0.16096720476563456,1.7514683247559277e-05
10,mean_pm25,paid_total,55-69,965,0.0965383225774846,0.002681794961714463
11,mean_pm25,paid_total,70+,511,0.09248799542253335,0.03661050032050674
12,mean_temp,substance_use_count,40-54,711,-0.06896160020347325,0.06609406781268971
13,mean_temp,substance_use_count,55-69,983,-0.13330061977682112,2.7558275206886224e-05
14,mean_temp,substance_use_count,70+,535,-0.13707121535304684,0.0014826225067421583
15,mean_light,paid_total,40-54,705,-0.11071273431908657,0.0032456232071238823
16,mean_light,paid_total,55-69,965,-0.08738253734129119,0.006604217205939236
17,mean_light,paid_total,70+,512,-0.03096906742683368,0.4844239354834529
18,mean_nox,neighborhood_score,40-54,679,0.11330203730826979,0.003111846579283061
19,mean_nox,neighborhood_score,55-69,937,0.1381980252875931,2.1855225173214008e-05
20,mean_nox,neighborhood_score,70+,494,-0.0038824490948969324,0.931408018125131
21,mean_light,substance_use_count,40-54,711,0.08826444866187043,0.018573139414299982
22,mean_light,substance_use_count,55-69,983,0.07434116238605247,0.019749855434313644
23,mean_light,substance_use_count,70+,536,0.10767268667920778,0.012622782504507307
24,mean_nox,substance_use_count,40-54,711,0.10066964724628368,0.007222257919927486
25,mean_nox,substance_use_count,55-69,983,0.06775363041532709,0.033669613094330246
26,mean_nox,substance_use_count,70+,535,0.06493252385278739,0.13362372866686012
27,mean_light,neighborhood_score,40-54,679,0.1104467841314578,0.003957889766477911
28,mean_light,neighborhood_score,55-69,937,0.09986700212401667,0.0022093246853238497
29,mean_light,neighborhood_score,70+,495,0.0317124663041658,0.4814632159967051
30,mean_hum,paid_total,40-54,705,0.04998746893926543,0.18492824072408337
31,mean_hum,paid_total,55-69,965,0.07858046146830917,0.014619451995799306
32,mean_hum,paid_total,70+,511,0.0950342347163141,0.03172324784035342
33,mean_light,diet_score,40-54,211,-0.08800242097004074,0.20295171121944092
34,mean_light,diet_score,55-69,308,-0.1739904882349679,0.0021802526038378353
35,mean_light,diet_score,70+,187,-0.08193945576954507,0.2649070387172175
36,mean_voc,cesd_total,40-54,712,0.0648171968740471,0.08393133657297128
37,mean_voc,cesd_total,55-69,982,0.05041391156462566,0.11438044660540614
38,mean_voc,cesd_total,70+,533,0.047815508953597166,0.2704854014372747
39,mean_pm25,diet_score,40-54,211,0.2112909175604389,0.0020296412784327664
40,mean_pm25,diet_score,55-69,308,0.09229738880968244,0.10594759990663997
41,mean_pm25,diet_score,70+,186,0.06872202126507052,0.35132226266835315
42,mean_nox,cesd_total,40-54,712,-0.0390574974109401,0.29799159158611094
43,mean_nox,cesd_total,55-69,982,-0.06752934696962978,0.034355068996291066
44,mean_nox,cesd_total,70+,533,-0.057007845688175546,0.18881011903713288
45,mean_voc,substance_use_count,40-54,711,0.014903124437854222,0.6915824833691928
46,mean_voc,substance_use_count,55-69,983,0.062171135980070936,0.0513376840938331
47,mean_voc,substance_use_count,70+,535,0.12052358981934208,0.005248380473102537
48,mean_temp,neighborhood_score,40-54,679,-0.08759310548289943,0.022450877668707448
49,mean_temp,neighborhood_score,55-69,937,-0.04800311459469765,0.1420275695049759
50,mean_temp,neighborhood_score,70+,494,-0.046049926452855675,0.30703662519414504
51,mean_voc,current_smoker,40-54,704,0.04925638391623855,0.19176022969544904
52,mean_voc,current_smoker,55-69,978,0.08759194230880836,0.006124715666470669
53,mean_voc,current_smoker,70+,533,0.04506506619995383,0.29904064841101835
54,mean_temp,current_smoker,40-54,704,-0.014119198523818951,0.708420984133521
55,mean_temp,current_smoker,55-69,978,0.0825372760396081,0.009814605453503137
56,mean_temp,current_smoker,70+,533,0.051757153338656645,0.23290816033369544
57,mean_voc,paid_total,40-54,705,0.08605832329797504,0.022301543470573237
58,mean_voc,paid_total,55-69,965,-0.0009156378239384574,0.9773376016356742
59,mean_voc,paid_total,70+,511,0.04617560371692927,0.2974982338061317
