,age_band,study_group_label,n,mean_bmi,median_bmi,sd_bmi
0,40-54,Healthy,278,28.784927123417265,26.856447785,7.70076466898072
1,40-54,Pre-DM,194,31.37741221170103,29.592560255000002,8.144303089271707
2,40-54,Oral Med,177,34.25420820265537,33.19257074,8.048915267485743
3,40-54,Insulin,76,36.61038377368421,35.419401165,9.466451439387608
4,55-69,Healthy,320,28.437765213124997,27.13351307,6.091639418143626
5,55-69,Pre-DM,237,28.860770210000002,26.95319614,6.922709344247758
6,55-69,Oral Med,332,30.967479030963858,29.653197095,6.806945498317793
7,55-69,Insulin,112,33.10041415642857,31.10002121,8.526110760137374
8,70+,Healthy,174,26.629328565919543,26.16981316,5.0758907027937
9,70+,Pre-DM,127,28.579511700157482,27.47404844,5.792022524384778
10,70+,Oral Med,176,28.41836727159091,27.82187601,5.190941715222379
11,70+,Insulin,69,31.185880752753622,29.64129493,6.6458281107121895
